n,k,trial,hg,ho,ratio
500,2,0,8266792,10864139,-0.23907527324530733
500,2,1,7857344,10293950,-0.23670272344435322
500,2,2,8186048,10473209,-0.2183820641791833
500,2,3,8225617,10266435,-0.19878545960696192
500,2,4,8143624,10819941,-0.24735042455407105
500,2,5,7920472,10683120,-0.25859936048644966
500,2,6,8517607,10041706,-0.15177689926392984
500,2,7,8621953,10845846,-0.2050455999467446
500,2,8,7825801,10546262,-0.2579549986526032
500,2,9,8586666,10759563,-0.20195030225669947
500,2,10,7534184,10757852,-0.29965721781634475
500,2,11,7991338,10703551,-0.25339375689432414
500,2,12,8568824,10806170,-0.20704338354847276
500,2,13,8418099,10431006,-0.19297342940843865
500,2,14,8350168,10364907,-0.19438080824073
500,2,15,8233313,10548217,-0.21945926975146604
500,2,16,8333446,10398239,-0.19857141194773462
500,2,17,8089985,10348915,-0.21827698845724408
500,2,18,8801321,10959137,-0.19689652570270816
500,2,19,8198636,10388801,-0.21081980490337623
1000,2,0,17104110,21374380,-0.19978450836936557
1000,2,1,16530615,20964413,-0.21149163584976122
1000,2,2,16522238,21223757,-0.2215215242051631
1000,2,3,16417884,21063588,-0.22055615595975386
1000,2,4,16295374,20975263,-0.2231146756062129
1000,2,5,17445541,21803485,-0.19987373578122947
1000,2,6,17189724,20639249,-0.16713423051391066
1000,2,7,16274186,20613356,-0.21050284097359012
1000,2,8,16752807,21442029,-0.21869301641183303
1000,2,9,16533070,21074431,-0.21549151196537644
1000,2,10,17105330,21131361,-0.19052397997459794
1000,2,11,16014027,20634547,-0.22392156222281012
1000,2,12,16690463,21231283,-0.2138740273020712
1000,2,13,16479227,21141899,-0.22054177820071888
1000,2,14,17469672,21419011,-0.18438475053773493
1000,2,15,16641187,21455962,-0.22440266253267974
1000,2,16,17140208,21571276,-0.20541520121480064
1000,2,17,16699717,21308414,-0.21628531339779675
1000,2,18,17028166,20968001,-0.1878975015310234
1000,2,19,16803441,21168314,-0.20619842468323174
1500,2,0,25096770,31405989,-0.20089222472821983
1500,2,1,25391887,31713475,-0.19933444695038938
1500,2,2,24538793,31712788,-0.2262177327329278
1500,2,3,25701181,32057736,-0.19828458878069244
1500,2,4,25718518,31931816,-0.19458016418483684
1500,2,5,23740688,31120405,-0.2371343496333033
1500,2,6,24517379,32233744,-0.23938779807893243
1500,2,7,25616855,31707046,-0.19207689672510014
1500,2,8,25117494,31964238,-0.21420013203505742
1500,2,9,23962763,30849268,-0.22323074246040456
1500,2,10,25913271,32105245,-0.19286487301373967
1500,2,11,24143582,32021154,-0.2460114960254087
1500,2,12,24269800,31287979,-0.22430911884720967
1500,2,13,25190426,31801314,-0.20788096994985805
1500,2,14,24951037,31469341,-0.20713188750917919
1500,2,15,24683556,32835681,-0.24827031910804592
1500,2,16,25821197,32309454,-0.2008160521685077
1500,2,17,24481943,31646287,-0.22638813836201385
1500,2,18,24830510,31989217,-0.22378500230249462
1500,2,19,24715485,31980127,-0.22716113666465426
2000,2,0,33355692,42009980,-0.20600552535373737
2000,2,1,32994672,42345999,-0.22083141786311383
2000,2,2,34413075,42961086,-0.19897101763209618
2000,2,3,32218829,41266916,-0.21925764939643175
2000,2,4,33486995,42592657,-0.21378478454631275
2000,2,5,32678379,42556686,-0.23212115247883727
2000,2,6,34711293,42872996,-0.1903693177868885
2000,2,7,32566869,42104453,-0.22652197856602008
2000,2,8,33357330,42080071,-0.20728912268232627
2000,2,9,33836777,42279784,-0.19969371177487566
2000,2,10,33657930,42698484,-0.21173009327450595
2000,2,11,35185790,43085683,-0.18335308738171796
2000,2,12,34468965,42986052,-0.19813606050632424
2000,2,13,33453016,42315386,-0.2094361138522995
2000,2,14,32468182,41329270,-0.21440223841359887
2000,2,15,33523746,42370345,-0.20879223428555987
2000,2,16,33234834,42618550,-0.22017914734311703
2000,2,17,32628929,41699394,-0.21752030736945482
2000,2,18,34331130,42015833,-0.18290017003828057
2000,2,19,34745775,43015063,-0.1922416805480443
2500,2,0,42265667,52966673,-0.2020328141055792
2500,2,1,41367875,52416797,-0.21078972070727633
2500,2,2,41932836,52336152,-0.1987787715076951
2500,2,3,42170306,52679559,-0.1994939441311572
2500,2,4,40288233,52163692,-0.22765756304212517
2500,2,5,42158280,53024426,-0.20492717827817694
2500,2,6,42369633,52807863,-0.19766431374055035
2500,2,7,41163890,52816103,-0.22061856778793393
2500,2,8,41091076,52654524,-0.21960977180232413
2500,2,9,42430312,53249820,-0.20318393564522846
2500,2,10,41207494,53224573,-0.22578065586359894
2500,2,11,42250510,53600969,-0.21175846653070768
2500,2,12,41613593,53449463,-0.22144039127203205
2500,2,13,41134779,52983688,-0.22363314913072868
2500,2,14,40686847,52260676,-0.22146343839869198
2500,2,15,43578877,53453652,-0.18473527309228563
2500,2,16,41650041,53483766,-0.22125825993629544
2500,2,17,41228511,52386607,-0.21299520314419293
2500,2,18,41888827,52874383,-0.2077670769226754
2500,2,19,41500706,52885878,-0.21527811261826835
